benchmark,strategy,sub_dataset,n,metric,value,source_csv
D.CR,no_memoria,factconsolidation_mh_262k,100,rougeLsum_recall,0.03833333333333334,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_32k,100,exact_match,0.0,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_32k,100,substring_exact_match,0.03,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_32k,100,f1,0.004112894141286711,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_32k,100,rougeL_f1,0.004129848933164123,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_32k,100,rougeL_recall,0.0375,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_32k,100,rougeLsum_f1,0.004129848933164123,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_32k,100,rougeLsum_recall,0.0375,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_64k,100,exact_match,0.0,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_64k,100,substring_exact_match,0.01,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_64k,100,f1,0.004082390727552018,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_64k,100,rougeL_f1,0.007423520923520924,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_64k,100,rougeL_recall,0.016166666666666666,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_64k,100,rougeLsum_f1,0.007423520923520924,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_64k,100,rougeLsum_recall,0.016166666666666666,results/runs/d_cr_no_memoria_scores.csv
